Autores;País dos autores;Instituição dos autores
Angelica Calazans, Roberto Paldês, Edna Canedo, Eloisa Masson, Fernando Guimarães, Kiane Rezende, Fábio Gonçalves, Ari Mariano;Brasil;UnB, CEUB
Gabriel Oliveira, Sabrina Marczak, Cassiano Moralles;Brasil;PUCRS
Gabriel Oliveira Júnior, Bruna Ferreira, Anna Marques;Brasil;UFC, PUC-Rio
Maria Meireles, Tayana Conte, Anderson Souza, Jose Maldonado;Brasil;USP, UFAM
Áurea Melo, Luis Rivero, Jonathas Santos, Ana Oran;Brasil;UEA, Méliuz, UFMA, UFAM
Adailton Araújo, Ricardo Marcacini;Brasil;USP
Gabriel Sousa, Simone Amorim;Brasil;IFBA
Suéllen Martinelli, Nicolas Nascimento, Jonathan Souza, Afonso Sales, Luciana Zaina;Brasil;UFSCar, PUCRS
Rodrigo Zacarias, Rodrigo Gonçalves, Rodrigo Santos;Brasil;UNIRIO, UFF
Rodrigo Mesquita, Geovana Silva, Edna Canedo;Brasil;UnB
Clara Fonseca, Luciana Zaina, Anna Marques;Brasil;UFC, UFSCar
Maria Meireles, Juliana Magalhães, Nasthya Barauna, Sabrina Rocha, Jose Maldonado, Tayana Conte;Brasil;UFAM, USP
Antonio Alves, Marcos Kalinowski, Daniel Mendez, Hugo Villamizar, Kelly Azevedo, Tatiana Escovedo, Helio Lopes;Brasil, Suécia;PUC-Rio, BTH
Bruno Silva, Rodrigo Nascimento, Luis Rivero, Geraldo Braz, Rodrigo Santos, Luiz Martins, Davi Viana;Brasil;UFMA, UNIRIO, UNIFESP
Murilo Martin, Daniel Coutinho, Anderson Uchôa, Juliana Pereira;Brasil;PUC-Rio, UFC
Renato Cabral, Sandra Jansen, Patrícia Carreiro, Jaelson Castro;Brasil;UFPE
Lúcia Bastos, Jaelson Castro;Brasil;UFPE, Banco do Brasil
Carla Silva, Jaelson Castro, Patrícia Tedesco, Ismênia Silva;Brasil;UFPE
Karolyne Oliveira, Jaelson Castro, Emanuel Santos, Robson Fidalgo, Sergio España, Oscar Pastor;Brasil, Espanha;UFPE, UPV
Carla Silva, João Araújo, Ana Moreira, Jaelson Castro, Patrícia Tedesco, Fernanda Alencar, Ricardo Ramos;Brasil, Portugal;UFPE, UNL
